County Name,Year,Income Per Capita($)
"Kearny, KS",2012,"50,970"
"Kingman, KS",2012,"40,995"
"Kiowa, KS",2012,"38,088"
"Labette, KS",2012,"36,633"
"Lane, KS",2012,"77,675"
"Leavenworth, KS",2012,"36,639"
"Lincoln, KS",2012,"35,845"
"Linn, KS",2012,"31,719"
"Logan, KS",2012,"51,161"
"Lyon, KS",2012,"30,668"
"McPherson, KS",2012,"46,351"
"Marion, KS",2012,"34,853"
"Marshall, KS",2012,"40,346"
"Meade, KS",2012,"54,481"
"Miami, KS",2012,"39,637"
"Mitchell, KS",2012,"47,969"
"Montgomery, KS",2012,"34,835"
"Morris, KS",2012,"36,600"
"Morton, KS",2012,"40,900"
"Nemaha, KS",2012,"46,548"
"Neosho, KS",2012,"34,912"
"Ness, KS",2012,"52,392"
"Norton, KS",2012,"39,823"
"Osage, KS",2012,"34,452"
"Osborne, KS",2012,"43,461"
"Ottawa, KS",2012,"36,142"
"Pawnee, KS",2012,"39,816"
"Phillips, KS",2012,"49,515"
"Pottawatomie, KS",2012,"48,221"
"Pratt, KS",2012,"45,739"
"Rawlins, KS",2012,"51,317"
"Reno, KS",2012,"35,349"
"Republic, KS",2012,"42,650"
"Rice, KS",2012,"41,315"
"Riley, KS",2012,"37,358"
"Rooks, KS",2012,"39,216"
"Rush, KS",2012,"45,695"
"Russell, KS",2012,"52,224"
"Saline, KS",2012,"40,674"
"Scott, KS",2012,"56,091"
"Sedgwick, KS",2012,"47,484"
"Seward, KS",2012,"32,462"
"Shawnee, KS",2012,"39,795"
"Sheridan, KS",2012,"60,064"
"Sherman, KS",2012,"43,470"
"Smith, KS",2012,"42,161"
"Stafford, KS",2012,"54,829"
"Stanton, KS",2012,"62,726"
"Stevens, KS",2012,"40,614"
"Sumner, KS",2012,"36,657"
"Thomas, KS",2012,"46,816"
"Trego, KS",2012,"44,511"
"Wabaunsee, KS",2012,"43,604"
"Wallace, KS",2012,"58,100"
"Washington, KS",2012,"41,962"
"Wichita, KS",2012,"67,455"
"Wilson, KS",2012,"39,914"
"Woodson, KS",2012,"36,782"
"Wyandotte, KS",2012,"53,434"
"Adair, KY",2012,"26,559"
"Allen, KY",2012,"27,227"
"Anderson, KY",2012,"34,240"
"Ballard, KY",2012,"33,280"
"Barren, KY",2012,"31,763"
"Bath, KY",2012,"27,774"
"Bell, KY",2012,"25,759"
"Boone, KY",2012,"40,177"
"Bourbon, KY",2012,"34,710"
"Boyd, KY",2012,"33,685"
"Boyle, KY",2012,"32,568"
"Bracken, KY",2012,"30,430"
"Breathitt, KY",2012,"28,342"
"Breckinridge, KY",2012,"30,702"
"Bullitt, KY",2012,"34,071"
"Butler, KY",2012,"29,734"
"Caldwell, KY",2012,"29,772"
"Calloway, KY",2012,"31,700"
"Campbell, KY",2012,"40,035"
"Carlisle, KY",2012,"39,161"
"Carroll, KY",2012,"30,866"
"Carter, KY",2012,"26,552"
"Casey, KY",2012,"25,900"
"Christian, KY",2012,"35,401"
"Clark, KY",2012,"34,346"
"Clay, KY",2012,"25,190"
"Clinton, KY",2012,"27,309"
"Crittenden, KY",2012,"30,825"
"Cumberland, KY",2012,"26,632"
"Daviess, KY",2012,"36,901"
"Edmonson, KY",2012,"27,691"
"Elliott, KY",2012,"19,096"
"Estill, KY",2012,"27,354"
"Fayette, KY",2012,"42,069"
"Fleming, KY",2012,"28,865"
"Floyd, KY",2012,"31,304"
"Franklin, KY",2012,"36,700"
"Fulton, KY",2012,"29,424"
"Gallatin, KY",2012,"26,260"
"Garrard, KY",2012,"29,033"
"Grant, KY",2012,"29,956"
"Graves, KY",2012,"32,171"
"Grayson, KY",2012,"28,507"
"Green, KY",2012,"28,748"
"Greenup, KY",2012,"34,837"
"Hancock, KY",2012,"33,682"
"Hardin, KY",2012,"37,492"
"Harlan, KY",2012,"28,178"
"Harrison, KY",2012,"30,387"
"Hart, KY",2012,"27,415"
"Henderson, KY",2012,"34,347"
"Henry, KY",2012,"33,331"
"Hickman, KY",2012,"34,444"
"Hopkins, KY",2012,"34,561"
"Jackson, KY",2012,"24,524"
"Jefferson, KY",2012,"43,406"
"Jessamine, KY",2012,"35,861"
"Johnson, KY",2012,"30,171"
"Kenton, KY",2012,"43,801"
"Knott, KY",2012,"27,909"
"Knox, KY",2012,"25,860"
"Larue, KY",2012,"30,851"
"Laurel, KY",2012,"29,022"
"Lawrence, KY",2012,"28,295"
"Lee, KY",2012,"24,710"
"Leslie, KY",2012,"29,224"
"Letcher, KY",2012,"28,059"
"Lewis, KY",2012,"25,422"
"Lincoln, KY",2012,"27,492"
"Livingston, KY",2012,"33,089"
"Logan, KY",2012,"31,306"
"Lyon, KY",2012,"28,354"
"McCracken, KY",2012,"40,015"
"McCreary, KY",2012,"20,788"
"McLean, KY",2012,"34,398"
"Madison, KY",2012,"30,997"
"Magoffin, KY",2012,"26,406"
"Marion, KY",2012,"28,168"
"Marshall, KY",2012,"34,897"
"Martin, KY",2012,"25,623"
"Mason, KY",2012,"33,657"
"Meade, KY",2012,"32,170"
"Menifee, KY",2012,"25,695"
"Mercer, KY",2012,"31,934"
"Metcalfe, KY",2012,"26,669"
"Monroe, KY",2012,"29,468"
"Montgomery, KY",2012,"30,040"
"Morgan, KY",2012,"23,562"
"Muhlenberg, KY",2012,"30,306"
"Nelson, KY",2012,"34,099"
"Nicholas, KY",2012,"30,633"
"Ohio, KY",2012,"28,566"
"Oldham, KY",2012,"52,794"
"Owen, KY",2012,"30,219"
"Owsley, KY",2012,"25,183"
"Pendleton, KY",2012,"37,546"
"Perry, KY",2012,"34,071"
"Pike, KY",2012,"32,191"
"Powell, KY",2012,"25,624"
"Pulaski, KY",2012,"30,697"
"Robertson, KY",2012,"27,865"
"Rockcastle, KY",2012,"25,309"
"Rowan, KY",2012,"28,002"
"Russell, KY",2012,"30,174"
"Scott, KY",2012,"37,228"
"Shelby, KY",2012,"37,594"
"Simpson, KY",2012,"32,669"
"Spencer, KY",2012,"36,872"
"Taylor, KY",2012,"29,211"
"Todd, KY",2012,"35,386"
"Trigg, KY",2012,"34,534"
"Trimble, KY",2012,"30,394"
"Union, KY",2012,"31,107"
"Warren, KY",2012,"33,351"
"Washington, KY",2012,"30,513"
"Wayne, KY",2012,"24,367"
"Webster, KY",2012,"34,347"
"Whitley, KY",2012,"29,155"
"Wolfe, KY",2012,"25,237"
"Woodford, KY",2012,"43,281"
"Acadia, LA",2012,"34,543"
"Allen, LA",2012,"27,952"
"Ascension, LA",2012,"42,620"
"Assumption, LA",2012,"38,838"
"Avoyelles, LA",2012,"35,005"
"Beauregard, LA",2012,"37,122"
"Bienville, LA",2012,"31,450"
"Bossier, LA",2012,"38,927"
"Caddo, LA",2012,"42,466"
"Calcasieu, LA",2012,"37,986"
"Caldwell, LA",2012,"29,986"
"Cameron, LA",2012,"40,334"
"Catahoula, LA",2012,"32,285"
"Claiborne, LA",2012,"31,946"
"Concordia, LA",2012,"33,399"
"De Soto, LA",2012,"35,402"
"East Baton Rouge, LA",2012,"43,871"
"East Carroll, LA",2012,"37,974"
"East Feliciana, LA",2012,"35,396"
"Evangeline, LA",2012,"31,409"
"Franklin, LA",2012,"29,903"
"Grant, LA",2012,"27,396"
"Iberia, LA",2012,"39,751"
"Iberville, LA",2012,"34,914"
"Jackson, LA",2012,"30,710"
"Jefferson, LA",2012,"44,963"
"Jefferson Davis, LA",2012,"34,531"
"Lafayette, LA",2012,"50,316"
"Lafourche, LA",2012,"42,266"
"LaSalle, LA",2012,"30,408"
"Lincoln, LA",2012,"32,493"
"Livingston, LA",2012,"35,743"
"Madison, LA",2012,"30,680"
"Morehouse, LA",2012,"34,157"
"Natchitoches, LA",2012,"32,481"
"Orleans, LA",2012,"45,216"
"Ouachita, LA",2012,"35,120"
"Plaquemines, LA",2012,"42,902"
"Pointe Coupee, LA",2012,"38,261"
"Rapides, LA",2012,"40,228"
"Red River, LA",2012,"31,815"
"Richland, LA",2012,"33,018"
"Sabine, LA",2012,"30,580"
"St. Bernard, LA",2012,"28,723"
"St. Charles, LA",2012,"44,087"
"St. Helena, LA",2012,"35,286"
"St. James, LA",2012,"41,257"
"St. John the Baptist, LA",2012,"37,143"
"St. Landry, LA",2012,"36,722"
"St. Martin, LA",2012,"36,933"
"St. Mary, LA",2012,"39,688"
"St. Tammany, LA",2012,"50,435"
"Tangipahoa, LA",2012,"34,903"
"Tensas, LA",2012,"38,231"
"Terrebonne, LA",2012,"41,272"
"Union, LA",2012,"32,748"
"Vermilion, LA",2012,"38,181"
"Vernon, LA",2012,"36,559"
"Washington, LA",2012,"29,826"
"Webster, LA",2012,"34,674"
"West Baton Rouge, LA",2012,"40,448"
"West Carroll, LA",2012,"29,193"
"West Feliciana, LA",2012,"31,646"
"Winn, LA",2012,"33,086"
"Androscoggin, ME",2012,"35,615"
"Aroostook, ME",2012,"34,932"
"Cumberland, ME",2012,"49,766"
"Franklin, ME",2012,"33,601"
"Hancock, ME",2012,"41,838"
"Kennebec, ME",2012,"38,777"
"Knox, ME",2012,"42,300"
"Lincoln, ME",2012,"42,774"
"Oxford, ME",2012,"32,312"
"Penobscot, ME",2012,"35,136"
"Piscataquis, ME",2012,"33,146"
"Sagadahoc, ME",2012,"42,288"
"Somerset, ME",2012,"32,836"
"Waldo, ME",2012,"34,688"
"Washington, ME",2012,"34,237"
"York, ME",2012,"42,476"
"Allegany, MD",2012,"33,946"
"Anne Arundel, MD",2012,"57,182"
"Baltimore, MD",2012,"51,982"
"Calvert, MD",2012,"53,326"
"Caroline, MD",2012,"38,773"
"Carroll, MD",2012,"51,859"
"Cecil, MD",2012,"40,299"
"Charles, MD",2012,"50,023"
"Dorchester, MD",2012,"38,772"
"Frederick, MD",2012,"52,028"
"Garrett, MD",2012,"36,945"
"Harford, MD",2012,"49,231"
"Howard, MD",2012,"69,653"
"Kent, MD",2012,"48,590"
"Montgomery, MD",2012,"76,901"
"Prince George's, MD",2012,"42,842"
"Queen Anne's, MD",2012,"53,617"
"St. Mary's, MD",2012,"49,300"
"Somerset, MD",2012,"26,830"
"Talbot, MD",2012,"60,548"
"Washington, MD",2012,"39,822"
"Wicomico, MD",2012,"35,419"
"Worcester, MD",2012,"48,977"
"Baltimore (Independent City), MD",2012,"40,744"
"Barnstable, MA",2012,"58,178"
"Berkshire, MA",2012,"45,216"
"Bristol, MA",2012,"43,853"
"Dukes, MA",2012,"71,663"
"Essex, MA",2012,"55,366"
"Franklin, MA",2012,"44,277"
"Hampden, MA",2012,"42,781"
"Hampshire, MA",2012,"44,099"
"Middlesex, MA",2012,"66,831"
"Nantucket, MA",2012,"97,844"
"Norfolk, MA",2012,"72,548"
"Plymouth, MA",2012,"53,331"
"Suffolk, MA",2012,"62,982"
"Worcester, MA",2012,"47,684"
"Alcona, MI",2012,"30,834"
"Alger, MI",2012,"26,999"
"Allegan, MI",2012,"36,244"
"Alpena, MI",2012,"33,724"
"Antrim, MI",2012,"35,920"
"Arenac, MI",2012,"30,609"
"Baraga, MI",2012,"29,015"
"Barry, MI",2012,"36,672"
"Bay, MI",2012,"35,192"
"Benzie, MI",2012,"33,339"
"Berrien, MI",2012,"37,777"
"Branch, MI",2012,"29,842"
"Calhoun, MI",2012,"33,887"
"Cass, MI",2012,"34,954"
"Charlevoix, MI",2012,"40,577"
"Cheboygan, MI",2012,"31,287"
"Chippewa, MI",2012,"29,651"
"Clare, MI",2012,"28,020"
"Clinton, MI",2012,"37,249"
"Crawford, MI",2012,"27,292"
"Delta, MI",2012,"33,708"
"Dickinson, MI",2012,"38,950"
"Eaton, MI",2012,"34,478"
"Emmet, MI",2012,"44,081"
"Genesee, MI",2012,"33,167"
"Gladwin, MI",2012,"29,647"
"Gogebic, MI",2012,"31,746"
"Grand Traverse, MI",2012,"39,778"
"Gratiot, MI",2012,"31,905"
"Hillsdale, MI",2012,"29,290"
"Houghton, MI",2012,"30,565"
"Huron, MI",2012,"40,032"
"Ingham, MI",2012,"34,429"
"Ionia, MI",2012,"28,242"
"Iosco, MI",2012,"30,385"
"Iron, MI",2012,"34,950"
"Isabella, MI",2012,"28,917"
"Jackson, MI",2012,"32,261"
"Kalamazoo, MI",2012,"39,662"
"Kalkaska, MI",2012,"28,884"
"Kent, MI",2012,"45,591"
"Keweenaw, MI",2012,"37,441"
"Lake, MI",2012,"26,190"
"Lapeer, MI",2012,"34,953"
"Leelanau, MI",2012,"51,748"
"Lenawee, MI",2012,"32,964"
"Livingston, MI",2012,"45,322"
"Luce, MI",2012,"26,079"
"Mackinac, MI",2012,"35,716"
"Macomb, MI",2012,"37,898"
"Manistee, MI",2012,"31,835"
"Marquette, MI",2012,"34,311"
"Mason, MI",2012,"33,653"
"Mecosta, MI",2012,"27,244"
"Menominee, MI",2012,"35,389"
"Midland, MI",2012,"45,270"
"Missaukee, MI",2012,"28,252"
"Monroe, MI",2012,"37,510"
"Montcalm, MI",2012,"28,747"
"Montmorency, MI",2012,"28,088"
"Muskegon, MI",2012,"31,740"
"Newaygo, MI",2012,"30,250"
"Oakland, MI",2012,"57,793"
"Oceana, MI",2012,"30,720"
"Ogemaw, MI",2012,"27,894"
"Ontonagon, MI",2012,"31,309"
"Osceola, MI",2012,"29,174"
"Oscoda, MI",2012,"27,593"
"Otsego, MI",2012,"34,470"
"Ottawa, MI",2012,"38,841"
"Presque Isle, MI",2012,"31,273"
"Roscommon, MI",2012,"30,525"
"Saginaw, MI",2012,"32,359"
"St. Clair, MI",2012,"35,924"
"St. Joseph, MI",2012,"31,388"
"Sanilac, MI",2012,"31,933"
"Schoolcraft, MI",2012,"31,746"
"Shiawassee, MI",2012,"31,891"
"Tuscola, MI",2012,"30,424"
"Van Buren, MI",2012,"33,899"
"Washtenaw, MI",2012,"47,798"
"Wayne, MI",2012,"34,984"
"Wexford, MI",2012,"30,145"
"Aitkin, MN",2012,"31,098"
"Anoka, MN",2012,"41,974"
"Becker, MN",2012,"40,818"
"Beltrami, MN",2012,"33,462"
"Benton, MN",2012,"37,208"
"Big Stone, MN",2012,"51,318"
"Blue Earth, MN",2012,"38,812"
"Brown, MN",2012,"46,206"
"Carlton, MN",2012,"34,416"
"Carver, MN",2012,"58,811"
"Cass, MN",2012,"38,821"
"Chippewa, MN",2012,"48,214"
"Chisago, MN",2012,"39,009"
"Clay, MN",2012,"38,317"
"Clearwater, MN",2012,"34,186"
"Cook, MN",2012,"45,882"
"Cottonwood, MN",2012,"45,874"
"Crow Wing, MN",2012,"36,284"
"Dakota, MN",2012,"49,492"
"Dodge, MN",2012,"44,626"
"Douglas, MN",2012,"50,567"
"Faribault, MN",2012,"46,070"
"Fillmore, MN",2012,"40,690"
"Freeborn, MN",2012,"39,688"
"Goodhue, MN",2012,"45,113"
"Grant, MN",2012,"53,341"
"Hennepin, MN",2012,"62,177"
"Houston, MN",2012,"43,669"
"Hubbard, MN",2012,"34,517"
"Isanti, MN",2012,"35,851"
"Itasca, MN",2012,"35,383"
"Jackson, MN",2012,"51,316"
"Kanabec, MN",2012,"33,192"
"Kandiyohi, MN",2012,"44,992"
"Kittson, MN",2012,"53,274"
"Koochiching, MN",2012,"35,851"
"Lac qui Parle, MN",2012,"56,574"
"Lake, MN",2012,"40,246"
"Lake of the Woods, MN",2012,"39,226"
"Le Sueur, MN",2012,"40,652"
"Lincoln, MN",2012,"44,940"
"Lyon, MN",2012,"43,565"
"McLeod, MN",2012,"41,291"
"Mahnomen, MN",2012,"33,625"
"Marshall, MN",2012,"49,987"
"Martin, MN",2012,"47,660"
"Meeker, MN",2012,"37,736"
"Mille Lacs, MN",2012,"34,442"
"Morrison, MN",2012,"36,299"
"Mower, MN",2012,"41,506"
"Murray, MN",2012,"51,990"
"Nicollet, MN",2012,"42,870"
"Nobles, MN",2012,"41,422"
"Norman, MN",2012,"45,304"
"Olmsted, MN",2012,"47,882"
"Otter Tail, MN",2012,"40,350"
"Pennington, MN",2012,"46,454"
"Pine, MN",2012,"30,118"
"Pipestone, MN",2012,"48,965"
"Polk, MN",2012,"43,800"
"Pope, MN",2012,"44,669"
"Ramsey, MN",2012,"45,189"
"Red Lake, MN",2012,"44,146"
"Redwood, MN",2012,"48,141"
"Renville, MN",2012,"50,720"
"Rice, MN",2012,"36,987"
"Rock, MN",2012,"48,811"
"Roseau, MN",2012,"44,231"
"St. Louis, MN",2012,"41,125"
"Scott, MN",2012,"48,989"
"Sherburne, MN",2012,"38,659"
"Sibley, MN",2012,"43,219"
"Stearns, MN",2012,"39,110"
"Steele, MN",2012,"40,550"
"Stevens, MN",2012,"59,072"
"Swift, MN",2012,"48,316"
"Todd, MN",2012,"36,061"
"Traverse, MN",2012,"68,266"
"Wabasha, MN",2012,"41,741"
"Wadena, MN",2012,"32,942"
"Waseca, MN",2012,"42,646"
"Washington, MN",2012,"53,053"
"Watonwan, MN",2012,"41,576"
"Wilkin, MN",2012,"57,386"
"Winona, MN",2012,"42,368"
"Wright, MN",2012,"40,900"
"Yellow Medicine, MN",2012,"49,108"
"Adams, MS",2012,"32,116"
"Alcorn, MS",2012,"30,248"
"Amite, MS",2012,"27,026"
"Attala, MS",2012,"30,434"
"Benton, MS",2012,"25,078"
"Bolivar, MS",2012,"32,568"
"Calhoun, MS",2012,"27,135"
"Carroll, MS",2012,"31,457"
"Chickasaw, MS",2012,"29,696"
"Choctaw, MS",2012,"27,144"
"Claiborne, MS",2012,"28,500"
"Clarke, MS",2012,"33,059"
"Clay, MS",2012,"33,538"
"Coahoma, MS",2012,"29,789"
"Copiah, MS",2012,"29,933"
"Covington, MS",2012,"28,889"
"DeSoto, MS",2012,"34,843"
"Forrest, MS",2012,"34,329"
"Franklin, MS",2012,"30,083"
"George, MS",2012,"29,852"
"Greene, MS",2012,"23,985"
"Grenada, MS",2012,"31,191"
"Hancock, MS",2012,"32,704"
"Harrison, MS",2012,"34,685"
"Hinds, MS",2012,"36,905"
"Holmes, MS",2012,"25,617"
"Humphreys, MS",2012,"27,054"
"Issaquena, MS",2012,"25,378"
"Itawamba, MS",2012,"30,357"
"Jackson, MS",2012,"34,566"
"Jasper, MS",2012,"31,865"
"Jefferson, MS",2012,"28,393"
"Jefferson Davis, MS",2012,"25,426"
"Jones, MS",2012,"34,157"
"Kemper, MS",2012,"25,543"
"Lafayette, MS",2012,"34,027"
"Lamar, MS",2012,"34,255"
"Lauderdale, MS",2012,"34,030"
"Lawrence, MS",2012,"29,765"
"Leake, MS",2012,"25,173"
"Lee, MS",2012,"34,646"
"Leflore, MS",2012,"32,885"
"Lincoln, MS",2012,"33,572"
"Lowndes, MS",2012,"35,700"
"Madison, MS",2012,"54,805"
"Marion, MS",2012,"27,753"
"Marshall, MS",2012,"27,370"
"Monroe, MS",2012,"29,756"
"Montgomery, MS",2012,"28,559"
"Neshoba, MS",2012,"34,276"
"Newton, MS",2012,"30,338"
"Noxubee, MS",2012,"29,132"
"Oktibbeha, MS",2012,"29,482"
"Panola, MS",2012,"29,709"
"Pearl River, MS",2012,"32,617"
"Perry, MS",2012,"27,348"
"Pike, MS",2012,"28,334"
"Pontotoc, MS",2012,"29,151"
"Prentiss, MS",2012,"26,911"
"Quitman, MS",2012,"24,817"
"Rankin, MS",2012,"39,470"
"Scott, MS",2012,"26,039"
"Sharkey, MS",2012,"31,593"
"Simpson, MS",2012,"31,209"
"Smith, MS",2012,"28,394"
"Stone, MS",2012,"28,918"
"Sunflower, MS",2012,"27,029"
"Tallahatchie, MS",2012,"26,211"
"Tate, MS",2012,"30,446"
"Tippah, MS",2012,"28,707"
"Tishomingo, MS",2012,"27,848"
"Tunica, MS",2012,"29,589"
"Union, MS",2012,"28,845"
"Walthall, MS",2012,"27,005"
"Warren, MS",2012,"35,423"
"Washington, MS",2012,"33,910"
"Wayne, MS",2012,"31,144"
"Webster, MS",2012,"31,839"
"Wilkinson, MS",2012,"26,605"
"Winston, MS",2012,"29,339"
"Yalobusha, MS",2012,"31,841"
"Yazoo, MS",2012,"26,559"
"Adair, MO",2012,"28,710"
"Andrew, MO",2012,"38,132"
"Atchison, MO",2012,"44,129"
"Audrain, MO",2012,"33,184"
"Barry, MO",2012,"28,597"
"Barton, MO",2012,"33,481"
"Bates, MO",2012,"33,368"
"Benton, MO",2012,"30,227"
"Bollinger, MO",2012,"28,728"
"Boone, MO",2012,"40,521"
"Buchanan, MO",2012,"34,976"
"Butler, MO",2012,"32,999"
"Caldwell, MO",2012,"30,037"
"Callaway, MO",2012,"32,577"
"Camden, MO",2012,"31,112"
"Cape Girardeau, MO",2012,"38,866"
"Carroll, MO",2012,"38,929"
"Carter, MO",2012,"28,441"
"Cass, MO",2012,"38,209"
"Cedar, MO",2012,"27,162"
"Chariton, MO",2012,"38,894"
"Christian, MO",2012,"32,836"
"Clark, MO",2012,"32,408"
"Clay, MO",2012,"40,228"
"Clinton, MO",2012,"34,716"
"Cole, MO",2012,"41,247"
"Cooper, MO",2012,"32,254"
"Crawford, MO",2012,"28,913"
"Dade, MO",2012,"30,212"
"Dallas, MO",2012,"27,438"
"Daviess, MO",2012,"30,807"
"DeKalb, MO",2012,"23,776"
"Dent, MO",2012,"28,484"
"Douglas, MO",2012,"23,160"
"Dunklin, MO",2012,"30,727"
"Franklin, MO",2012,"36,159"
"Gasconade, MO",2012,"33,086"
"Gentry, MO",2012,"37,263"
"Greene, MO",2012,"36,814"
"Grundy, MO",2012,"31,046"
"Harrison, MO",2012,"32,556"
"Henry, MO",2012,"34,385"
"Hickory, MO",2012,"23,685"
"Holt, MO",2012,"40,701"
"Howard, MO",2012,"32,954"
"Howell, MO",2012,"28,579"
"Iron, MO",2012,"28,254"
"Jackson, MO",2012,"39,237"
"Jasper, MO",2012,"34,862"
"Jefferson, MO",2012,"34,950"
"Johnson, MO",2012,"30,536"
"Knox, MO",2012,"33,365"
"Laclede, MO",2012,"29,541"
"Lafayette, MO",2012,"34,551"
"Lawrence, MO",2012,"28,503"
"Lewis, MO",2012,"31,029"
"Lincoln, MO",2012,"32,336"
"Linn, MO",2012,"34,381"
"Livingston, MO",2012,"33,305"
"McDonald, MO",2012,"23,584"
"Macon, MO",2012,"33,436"
"Madison, MO",2012,"31,063"
"Maries, MO",2012,"28,704"
"Marion, MO",2012,"35,746"
"Mercer, MO",2012,"30,812"
"Miller, MO",2012,"29,492"
"Mississippi, MO",2012,"29,076"
"Moniteau, MO",2012,"31,231"
"Monroe, MO",2012,"33,917"
"Montgomery, MO",2012,"32,008"
"Morgan, MO",2012,"36,220"
"New Madrid, MO",2012,"29,873"
"Newton, MO",2012,"34,082"
"Nodaway, MO",2012,"27,747"
"Oregon, MO",2012,"25,467"
"Osage, MO",2012,"34,772"
"Ozark, MO",2012,"23,888"
"Pemiscot, MO",2012,"31,500"
"Perry, MO",2012,"34,073"
"Pettis, MO",2012,"32,520"
"Phelps, MO",2012,"32,002"
"Pike, MO",2012,"29,059"
"Platte, MO",2012,"48,550"
"Polk, MO",2012,"28,110"
"Pulaski, MO",2012,"39,119"
"Putnam, MO",2012,"30,236"
"Ralls, MO",2012,"36,011"
"Randolph, MO",2012,"33,497"
"Ray, MO",2012,"34,133"
"Reynolds, MO",2012,"29,585"
"Ripley, MO",2012,"28,015"
"St. Charles, MO",2012,"44,142"
"St. Clair, MO",2012,"26,858"
"Ste. Genevieve, MO",2012,"35,277"
"St. Francois, MO",2012,"28,744"
"St. Louis, MO",2012,"60,734"
"Saline, MO",2012,"35,856"
"Schuyler, MO",2012,"26,881"
"Scotland, MO",2012,"34,193"
"Scott, MO",2012,"36,310"
"Shannon, MO",2012,"25,271"
"Shelby, MO",2012,"36,087"
"Stoddard, MO",2012,"34,439"
"Stone, MO",2012,"29,016"
"Sullivan, MO",2012,"35,175"
"Taney, MO",2012,"31,204"
"Texas, MO",2012,"25,081"
"Vernon, MO",2012,"32,750"
"Warren, MO",2012,"33,706"
"Washington, MO",2012,"25,424"
"Wayne, MO",2012,"25,547"
"Webster, MO",2012,"28,673"
"Worth, MO",2012,"33,658"
"Wright, MO",2012,"27,597"
"St. Louis (Independent City), MO",2012,"39,191"
"Beaverhead, MT",2012,"36,450"
"Big Horn, MT",2012,"26,414"
"Blaine, MT",2012,"27,977"
"Broadwater, MT",2012,"32,473"
"Carbon, MT",2012,"40,944"
"Carter, MT",2012,"47,952"
"Cascade, MT",2012,"40,415"
"Chouteau, MT",2012,"35,604"
"Custer, MT",2012,"38,658"
"Daniels, MT",2012,"61,143"
"Dawson, MT",2012,"41,625"
"Deer Lodge, MT",2012,"32,847"
"Fallon, MT",2012,"56,189"
"Fergus, MT",2012,"37,887"
"Flathead, MT",2012,"38,330"
"Gallatin, MT",2012,"42,487"
"Garfield, MT",2012,"36,797"
"Glacier, MT",2012,"31,373"
"Golden Valley, MT",2012,"47,948"
"Granite, MT",2012,"38,093"
"Hill, MT",2012,"40,323"
"Jefferson, MT",2012,"42,101"
"Judith Basin, MT",2012,"43,173"
"Lake, MT",2012,"30,937"
"Lewis and Clark, MT",2012,"45,190"
"Liberty, MT",2012,"36,191"
"Lincoln, MT",2012,"28,785"
"McCone, MT",2012,"39,152"
"Madison, MT",2012,"38,445"
"Meagher, MT",2012,"39,436"
"Mineral, MT",2012,"31,642"
"Missoula, MT",2012,"38,785"
"Musselshell, MT",2012,"36,366"
"Park, MT",2012,"38,827"
"Petroleum, MT",2012,"42,107"
"Phillips, MT",2012,"37,665"
"Pondera, MT",2012,"39,212"
"Powder River, MT",2012,"32,909"
"Powell, MT",2012,"30,623"
"Prairie, MT",2012,"40,374"
"Ravalli, MT",2012,"35,964"
"Richland, MT",2012,"63,496"
"Roosevelt, MT",2012,"34,410"
"Rosebud, MT",2012,"37,341"
"Sanders, MT",2012,"27,746"
"Sheridan, MT",2012,"56,052"
"Silver Bow, MT",2012,"51,398"
"Stillwater, MT",2012,"42,252"
"Sweet Grass, MT",2012,"37,658"
"Teton, MT",2012,"45,167"
"Toole, MT",2012,"45,316"
"Treasure, MT",2012,"46,947"
"Valley, MT",2012,"42,567"
"Wheatland, MT",2012,"33,981"
"Wibaux, MT",2012,"44,230"
"Yellowstone, MT",2012,"44,643"
"Adams, NE",2012,"43,408"
"Antelope, NE",2012,"51,996"
"Arthur, NE",2012,"25,674"
"Banner, NE",2012,"56,101"
"Blaine, NE",2012,"36,851"
"Boone, NE",2012,"51,304"
"Box Butte, NE",2012,"42,415"
"Boyd, NE",2012,"41,405"
"Brown, NE",2012,"44,385"
"Buffalo, NE",2012,"48,510"
"Burt, NE",2012,"42,304"
"Butler, NE",2012,"42,248"
"Cass, NE",2012,"42,371"
"Cedar, NE",2012,"46,022"
"Chase, NE",2012,"61,276"
"Cherry, NE",2012,"40,740"
"Cheyenne, NE",2012,"46,918"
"Clay, NE",2012,"47,312"
"Colfax, NE",2012,"36,544"
"Cuming, NE",2012,"53,869"
"Custer, NE",2012,"43,249"
"Dakota, NE",2012,"31,604"
"Dawes, NE",2012,"32,538"
"Dawson, NE",2012,"36,967"
"Deuel, NE",2012,"35,600"
"Dixon, NE",2012,"36,143"
"Dodge, NE",2012,"39,636"
"Douglas, NE",2012,"55,929"
"Dundy, NE",2012,"62,074"
"Fillmore, NE",2012,"59,033"
"Franklin, NE",2012,"46,276"
"Frontier, NE",2012,"45,388"
"Furnas, NE",2012,"44,790"
"Gage, NE",2012,"42,003"
"Garden, NE",2012,"42,208"
"Garfield, NE",2012,"38,165"
"Gosper, NE",2012,"50,032"
"Grant, NE",2012,"36,368"
"Greeley, NE",2012,"41,043"
"Hall, NE",2012,"37,503"
"Hamilton, NE",2012,"53,923"
"Harlan, NE",2012,"45,905"
"Hayes, NE",2012,"63,240"
"Hitchcock, NE",2012,"40,913"
"Holt, NE",2012,"50,996"
"Hooker, NE",2012,"35,474"
"Howard, NE",2012,"39,845"
"Jefferson, NE",2012,"41,356"
