County Name,Year,Populations
"Shenandoah, VA",2012,"42,530"
"Smyth, VA",2012,"31,895"
"Stafford, VA",2012,"133,375"
"Surry, VA",2012,"6,838"
"Sussex, VA",2012,"11,919"
"Tazewell, VA",2012,"44,273"
"Warren, VA",2012,"37,866"
"Westmoreland, VA",2012,"17,513"
"Wythe, VA",2012,"29,317"
"Alexandria (Independent City), VA",2012,"147,314"
"Chesapeake (Independent City), VA",2012,"228,075"
"Hampton (Independent City), VA",2012,"137,083"
"Newport News (Independent City), VA",2012,"180,094"
"Norfolk (Independent City), VA",2012,"246,141"
"Portsmouth (Independent City), VA",2012,"96,467"
"Richmond (Independent City), VA",2012,"210,741"
"Roanoke (Independent City), VA",2012,"98,092"
"Suffolk (Independent City), VA",2012,"85,258"
"Virginia Beach (Independent City), VA",2012,"445,038"
"Albemarle + Charlottesville, VA*",2012,"146,043"
"Alleghany + Covington, VA*",2012,"21,876"
"Augusta, Staunton + Waynesboro, VA*",2012,"118,455"
"Campbell + Lynchburg, VA*",2012,"132,099"
"Carroll + Galax, VA*",2012,"36,773"
"Dinwiddie, Colonial Heights + Petersburg, VA*",2012,"77,594"
"Fairfax, Fairfax City + Falls Church, VA*",2012,"1,156,496"
"Frederick + Winchester, VA*",2012,"107,253"
"Greensville + Emporia, VA*",2012,"17,556"
"Henry + Martinsville, VA*",2012,"66,594"
"James City + Williamsburg, VA*",2012,"83,925"
"Montgomery + Radford, VA*",2012,"112,358"
"Pittsylvania + Danville, VA*",2012,"105,605"
"Prince George + Hopewell, VA*",2012,"59,433"
"Prince William, Manassas + Manassas Park, VA*",2012,"485,373"
"Roanoke + Salem, VA*",2012,"117,898"
"Rockbridge, Buena Vista + Lexington, VA*",2012,"36,137"
"Rockingham + Harrisonburg, VA*",2012,"128,451"
"Southampton + Franklin, VA*",2012,"26,989"
"Spotsylvania + Fredericksburg, VA*",2012,"152,984"
"Washington + Bristol, VA*",2012,"72,788"
"Wise + Norton, VA*",2012,"45,043"
"York + Poquoson, VA*",2012,"77,981"
"Adams, WA",2012,"18,952"
"Asotin, WA",2012,"21,908"
"Benton, WA",2012,"182,391"
"Chelan, WA",2012,"73,497"
"Clallam, WA",2012,"71,771"
"Clark, WA",2012,"436,372"
"Columbia, WA",2012,"3,977"
"Cowlitz, WA",2012,"101,657"
"Douglas, WA",2012,"39,202"
"Ferry, WA",2012,"7,663"
"Franklin, WA",2012,"85,729"
"Garfield, WA",2012,"2,208"
"Grant, WA",2012,"91,332"
"Grays Harbor, WA",2012,"71,770"
"Island, WA",2012,"79,035"
"Jefferson, WA",2012,"29,789"
"King, WA",2012,"2,011,323"
"Kitsap, WA",2012,"254,323"
"Kittitas, WA",2012,"41,624"
"Klickitat, WA",2012,"20,638"
"Lewis, WA",2012,"75,435"
"Lincoln, WA",2012,"10,431"
"Mason, WA",2012,"60,681"
"Okanogan, WA",2012,"41,181"
"Pacific, WA",2012,"20,580"
"Pend Oreille, WA",2012,"13,000"
"Pierce, WA",2012,"811,009"
"San Juan, WA",2012,"15,849"
"Skagit, WA",2012,"117,721"
"Skamania, WA",2012,"11,200"
"Snohomish, WA",2012,"732,152"
"Spokane, WA",2012,"475,453"
"Stevens, WA",2012,"43,472"
"Thurston, WA",2012,"258,489"
"Wahkiakum, WA",2012,"3,999"
"Walla Walla, WA",2012,"59,340"
"Whatcom, WA",2012,"204,880"
"Whitman, WA",2012,"46,636"
"Yakima, WA",2012,"246,207"
"Barbour, WV",2012,"16,870"
"Berkeley, WV",2012,"106,950"
"Boone, WV",2012,"24,353"
"Braxton, WV",2012,"14,451"
"Brooke, WV",2012,"23,691"
"Cabell, WV",2012,"96,943"
"Calhoun, WV",2012,"7,595"
"Clay, WV",2012,"9,206"
"Doddridge, WV",2012,"8,298"
"Fayette, WV",2012,"45,861"
"Gilmer, WV",2012,"8,747"
"Grant, WV",2012,"11,825"
"Greenbrier, WV",2012,"35,876"
"Hampshire, WV",2012,"23,680"
"Hancock, WV",2012,"30,448"
"Hardy, WV",2012,"13,847"
"Harrison, WV",2012,"69,105"
"Jackson, WV",2012,"29,280"
"Jefferson, WV",2012,"54,694"
"Kanawha, WV",2012,"192,234"
"Lewis, WV",2012,"16,452"
"Lincoln, WV",2012,"21,605"
"Logan, WV",2012,"36,313"
"McDowell, WV",2012,"21,321"
"Marion, WV",2012,"56,745"
"Marshall, WV",2012,"32,801"
"Mason, WV",2012,"27,214"
"Mercer, WV",2012,"62,417"
"Mineral, WV",2012,"27,857"
"Mingo, WV",2012,"26,189"
"Monongalia, WV",2012,"100,917"
"Monroe, WV",2012,"13,502"
"Morgan, WV",2012,"17,426"
"Nicholas, WV",2012,"26,261"
"Ohio, WV",2012,"44,011"
"Pendleton, WV",2012,"7,470"
"Pleasants, WV",2012,"7,533"
"Pocahontas, WV",2012,"8,702"
"Preston, WV",2012,"33,900"
"Putnam, WV",2012,"56,449"
"Raleigh, WV",2012,"79,249"
"Randolph, WV",2012,"29,390"
"Ritchie, WV",2012,"10,248"
"Roane, WV",2012,"14,679"
"Summers, WV",2012,"13,835"
"Taylor, WV",2012,"16,968"
"Tucker, WV",2012,"7,077"
"Tyler, WV",2012,"9,054"
"Upshur, WV",2012,"24,440"
"Wayne, WV",2012,"41,873"
"Webster, WV",2012,"8,981"
"Wetzel, WV",2012,"16,345"
"Wirt, WV",2012,"5,774"
"Wood, WV",2012,"86,605"
"Wyoming, WV",2012,"23,207"
"Adams, WI",2012,"20,419"
"Ashland, WI",2012,"15,839"
"Barron, WI",2012,"45,767"
"Bayfield, WI",2012,"15,061"
"Brown, WI",2012,"252,686"
"Buffalo, WI",2012,"13,342"
"Burnett, WI",2012,"15,337"
"Calumet, WI",2012,"49,640"
"Chippewa, WI",2012,"63,048"
"Clark, WI",2012,"34,440"
"Columbia, WI",2012,"56,464"
"Crawford, WI",2012,"16,516"
"Dane, WI",2012,"502,891"
"Dodge, WI",2012,"88,181"
"Door, WI",2012,"27,534"
"Douglas, WI",2012,"43,748"
"Dunn, WI",2012,"43,804"
"Eau Claire, WI",2012,"100,829"
"Florence, WI",2012,"4,367"
"Fond du Lac, WI",2012,"101,785"
"Forest, WI",2012,"9,157"
"Grant, WI",2012,"50,867"
"Green, WI",2012,"36,759"
"Green Lake, WI",2012,"19,003"
"Iowa, WI",2012,"23,579"
"Iron, WI",2012,"5,888"
"Jackson, WI",2012,"20,491"
"Jefferson, WI",2012,"84,351"
"Juneau, WI",2012,"26,769"
"Kenosha, WI",2012,"167,220"
"Kewaunee, WI",2012,"20,499"
"La Crosse, WI",2012,"116,541"
"Lafayette, WI",2012,"16,801"
"Langlade, WI",2012,"19,620"
"Lincoln, WI",2012,"28,499"
"Manitowoc, WI",2012,"80,723"
"Marathon, WI",2012,"134,363"
"Marinette, WI",2012,"41,347"
"Marquette, WI",2012,"15,243"
"Menominee, WI*",2012,"4,361"
"Milwaukee, WI",2012,"954,606"
"Monroe, WI",2012,"45,003"
"Oconto, WI",2012,"37,417"
"Oneida, WI",2012,"35,669"
"Outagamie, WI",2012,"179,003"
"Ozaukee, WI",2012,"87,108"
"Pepin, WI",2012,"7,373"
"Pierce, WI",2012,"40,712"
"Polk, WI",2012,"43,519"
"Portage, WI",2012,"70,414"
"Price, WI",2012,"13,844"
"Racine, WI",2012,"194,608"
"Richland, WI",2012,"17,806"
"Rock, WI",2012,"160,065"
"Rusk, WI",2012,"14,304"
"St. Croix, WI",2012,"85,037"
"Sauk, WI",2012,"62,385"
"Sawyer, WI",2012,"16,520"
"Shawano, WI*",2012,"41,504"
"Sheboygan, WI",2012,"114,767"
"Taylor, WI",2012,"20,369"
"Trempealeau, WI",2012,"29,289"
"Vernon, WI",2012,"30,023"
"Vilas, WI",2012,"21,298"
"Walworth, WI",2012,"102,883"
"Washburn, WI",2012,"15,848"
"Washington, WI",2012,"132,728"
"Waukesha, WI",2012,"392,799"
"Waupaca, WI",2012,"51,930"
"Waushara, WI",2012,"24,417"
"Winnebago, WI",2012,"168,507"
"Wood, WI",2012,"74,321"
"Albany, WY",2012,"37,360"
"Big Horn, WY",2012,"11,757"
"Campbell, WY",2012,"47,855"
"Carbon, WY",2012,"15,708"
"Converse, WY",2012,"14,028"
"Crook, WY",2012,"7,141"
"Fremont, WY",2012,"41,009"
"Goshen, WY",2012,"13,637"
"Hot Springs, WY",2012,"4,829"
"Johnson, WY",2012,"8,641"
"Laramie, WY",2012,"94,690"
"Lincoln, WY",2012,"17,942"
"Natrona, WY",2012,"78,562"
"Niobrara, WY",2012,"2,477"
"Park, WY",2012,"28,804"
"Platte, WY",2012,"8,727"
"Sheridan, WY",2012,"29,518"
"Sublette, WY",2012,"10,476"
"Sweetwater, WY",2012,"45,005"
"Teton, WY",2012,"21,625"
"Uinta, WY",2012,"20,994"
"Washakie, WY",2012,"8,408"
"Weston, WY",2012,"7,077"
"Autauga, AL",2013,"54,713"
"Baldwin, AL",2013,"194,886"
"Barbour, AL",2013,"26,944"
"Bibb, AL",2013,"22,516"
"Blount, AL",2013,"57,611"
"Bullock, AL",2013,"10,551"
"Butler, AL",2013,"20,374"
"Calhoun, AL",2013,"116,541"
"Chambers, AL",2013,"34,143"
"Cherokee, AL",2013,"26,025"
"Chilton, AL",2013,"43,634"
"Choctaw, AL",2013,"13,396"
"Clarke, AL",2013,"25,122"
"Clay, AL",2013,"13,404"
"Cleburne, AL",2013,"14,976"
"Coffee, AL",2013,"50,677"
"Colbert, AL",2013,"54,533"
"Conecuh, AL",2013,"12,911"
"Coosa, AL",2013,"11,256"
"Covington, AL",2013,"37,812"
"Crenshaw, AL",2013,"13,854"
"Cullman, AL",2013,"80,688"
"Dale, AL",2013,"49,772"
"Dallas, AL",2013,"41,983"
"DeKalb, AL",2013,"70,911"
"Elmore, AL",2013,"80,569"
"Escambia, AL",2013,"37,763"
"Etowah, AL",2013,"103,883"
"Fayette, AL",2013,"16,819"
"Franklin, AL",2013,"31,552"
"Geneva, AL",2013,"26,682"
"Greene, AL",2013,"8,749"
"Hale, AL",2013,"15,247"
"Henry, AL",2013,"17,132"
"Houston, AL",2013,"103,638"
"Jackson, AL",2013,"52,958"
"Jefferson, AL",2013,"659,196"
"Lamar, AL",2013,"14,210"
"Lauderdale, AL",2013,"92,706"
"Lawrence, AL",2013,"33,577"
"Lee, AL",2013,"151,831"
"Limestone, AL",2013,"88,910"
"Lowndes, AL",2013,"10,665"
"Macon, AL",2013,"20,026"
"Madison, AL",2013,"346,633"
"Marengo, AL",2013,"20,114"
"Marion, AL",2013,"30,228"
"Marshall, AL",2013,"94,370"
"Mobile, AL",2013,"414,210"
"Monroe, AL",2013,"22,171"
"Montgomery, AL",2013,"228,173"
"Morgan, AL",2013,"119,574"
"Perry, AL",2013,"10,005"
"Pickens, AL",2013,"19,305"
"Pike, AL",2013,"33,713"
"Randolph, AL",2013,"22,548"
"Russell, AL",2013,"59,133"
"St. Clair, AL",2013,"85,805"
"Shelby, AL",2013,"204,108"
"Sumter, AL",2013,"13,396"
"Talladega, AL",2013,"81,513"
"Tallapoosa, AL",2013,"41,028"
"Tuscaloosa, AL",2013,"201,084"
"Walker, AL",2013,"65,768"
"Washington, AL",2013,"16,897"
"Wilcox, AL",2013,"11,152"
"Winston, AL",2013,"24,186"
"Aleutians East Borough, AK*",2013,"3,345"
"Aleutians West Census Area, AK*",2013,"5,777"
"Anchorage Municipality, AK",2013,"301,155"
"Bethel Census Area, AK*",2013,"17,847"
"Bristol Bay Borough, AK",2013,952
"Denali Borough, AK*",2013,"1,942"
"Dillingham Census Area, AK*",2013,"4,979"
"Fairbanks North Star Borough, AK",2013,"100,928"
"Haines Borough, AK",2013,"2,558"
"Hoonah-Angoon Census Area, AK*",2013,"2,121"
"Juneau City and Borough, AK",2013,"32,587"
"Kenai Peninsula Borough, AK",2013,"57,015"
"Ketchikan Gateway Borough, AK*",2013,"13,716"
"Kodiak Island Borough, AK",2013,"14,089"
"Kusilvak Census Area, AK*",2013,"7,972"
"Lake and Peninsula Borough, AK*",2013,"1,665"
"Matanuska-Susitna Borough, AK",2013,"95,877"
"Nome Census Area, AK*",2013,"9,845"
"North Slope Borough, AK",2013,"9,786"
"Northwest Arctic Borough, AK",2013,"7,725"
"Petersburg Borough, AK*",2013,"3,293"
"Prince of Wales-Hyder Census Area, AK*",2013,"6,443"
"Sitka City and Borough, AK",2013,"8,973"
"Skagway Municipality, AK*",2013,"1,025"
"Southeast Fairbanks Census Area, AK*",2013,"6,984"
"Valdez-Cordova Census Area, AK*",2013,"9,776"
"Wrangell City and Borough, AK*",2013,"2,455"
"Yakutat City and Borough, AK*",2013,651
"Yukon-Koyukuk Census Area, AK*",2013,"5,564"
"Apache, AZ",2013,"72,341"
"Cochise, AZ",2013,"129,608"
"Coconino, AZ",2013,"136,713"
"Gila, AZ",2013,"53,022"
"Graham, AZ",2013,"37,454"
"Greenlee, AZ",2013,"8,908"
"La Paz, AZ*",2013,"20,532"
"Maricopa, AZ",2013,"4,019,019"
"Mohave, AZ",2013,"203,158"
"Navajo, AZ",2013,"107,145"
"Pima, AZ",2013,"997,437"
"Pinal, AZ",2013,"385,656"
"Santa Cruz, AZ",2013,"46,991"
"Yavapai, AZ",2013,"214,426"
"Yuma, AZ*",2013,"202,589"
"Arkansas, AR",2013,"18,754"
"Ashley, AR",2013,"21,278"
"Baxter, AR",2013,"40,984"
"Benton, AR",2013,"239,485"
"Boone, AR",2013,"37,312"
"Bradley, AR",2013,"11,129"
"Calhoun, AR",2013,"5,193"
"Carroll, AR",2013,"27,792"
"Chicot, AR",2013,"11,360"
"Clark, AR",2013,"22,588"
"Clay, AR",2013,"15,482"
"Cleburne, AR",2013,"25,641"
"Cleveland, AR",2013,"8,515"
"Columbia, AR",2013,"24,282"
"Conway, AR",2013,"21,085"
"Craighead, AR",2013,"101,644"
"Crawford, AR",2013,"61,679"
"Crittenden, AR",2013,"49,747"
"Cross, AR",2013,"17,523"
"Dallas, AR",2013,"7,892"
"Desha, AR",2013,"12,500"
"Drew, AR",2013,"18,683"
"Faulkner, AR",2013,"119,184"
"Franklin, AR",2013,"17,907"
"Fulton, AR",2013,"12,171"
"Garland, AR",2013,"97,653"
"Grant, AR",2013,"18,044"
"Greene, AR",2013,"43,160"
"Hempstead, AR",2013,"22,427"
"Hot Spring, AR",2013,"33,516"
"Howard, AR",2013,"13,557"
"Independence, AR",2013,"36,883"
"Izard, AR",2013,"13,406"
"Jackson, AR",2013,"17,733"
"Jefferson, AR",2013,"73,202"
"Johnson, AR",2013,"25,930"
"Lafayette, AR",2013,"7,285"
"Lawrence, AR",2013,"17,055"
"Lee, AR",2013,"10,013"
"Lincoln, AR",2013,"14,062"
"Little River, AR",2013,"12,739"
"Logan, AR",2013,"22,026"
"Lonoke, AR",2013,"70,715"
"Madison, AR",2013,"15,680"
"Marion, AR",2013,"16,443"
"Miller, AR",2013,"43,461"
"Mississippi, AR",2013,"44,697"
"Monroe, AR",2013,"7,690"
"Montgomery, AR",2013,"9,250"
"Nevada, AR",2013,"8,777"
"Newton, AR",2013,"8,054"
"Ouachita, AR",2013,"24,952"
"Perry, AR",2013,"10,328"
"Phillips, AR",2013,"20,443"
"Pike, AR",2013,"11,119"
"Poinsett, AR",2013,"24,185"
"Polk, AR",2013,"20,349"
"Pope, AR",2013,"62,583"
"Prairie, AR",2013,"8,374"
"Pulaski, AR",2013,"391,544"
"Randolph, AR",2013,"17,626"
"St. Francis, AR",2013,"27,510"
"Saline, AR",2013,"113,339"
"Scott, AR",2013,"10,911"
"Searcy, AR",2013,"7,985"
"Sebastian, AR",2013,"127,211"
"Sevier, AR",2013,"17,370"
"Sharp, AR",2013,"17,045"
"Stone, AR",2013,"12,423"
"Union, AR",2013,"40,606"
"Van Buren, AR",2013,"16,960"
"Washington, AR",2013,"216,011"
"White, AR",2013,"78,553"
"Woodruff, AR",2013,"7,031"
"Yell, AR",2013,"21,823"
"Alameda, CA",2013,"1,580,247"
"Alpine, CA",2013,"1,127"
"Amador, CA",2013,"36,625"
"Butte, CA",2013,"221,664"
"Calaveras, CA",2013,"44,660"
"Colusa, CA",2013,"21,265"
"Contra Costa, CA",2013,"1,093,758"
"Del Norte, CA",2013,"27,817"
"El Dorado, CA",2013,"181,497"
"Fresno, CA",2013,"952,029"
"Glenn, CA",2013,"27,826"
"Humboldt, CA",2013,"134,407"
"Imperial, CA",2013,"176,605"
"Inyo, CA",2013,"18,360"
"Kern, CA",2013,"862,557"
"Kings, CA",2013,"150,416"
"Lake, CA",2013,"63,809"
"Lassen, CA",2013,"32,126"
"Los Angeles, CA",2013,"9,998,105"
"Madera, CA",2013,"151,470"
"Marin, CA",2013,"258,453"
"Mariposa, CA",2013,"17,808"
"Mendocino, CA",2013,"87,077"
"Merced, CA",2013,"262,198"
"Modoc, CA",2013,"9,149"
"Mono, CA",2013,"14,074"
"Monterey, CA",2013,"427,054"
"Napa, CA",2013,"139,706"
"Nevada, CA",2013,"97,952"
"Orange, CA",2013,"3,108,009"
"Placer, CA",2013,"365,445"
"Plumas, CA",2013,"18,895"
"Riverside, CA",2013,"2,288,043"
"Sacramento, CA",2013,"1,457,750"
"San Benito, CA",2013,"57,267"
"San Bernardino, CA",2013,"2,083,871"
"San Diego, CA",2013,"3,211,248"
"San Francisco, CA",2013,"839,841"
"San Joaquin, CA",2013,"702,387"
"San Luis Obispo, CA",2013,"275,751"
"San Mateo, CA",2013,"749,013"
"Santa Barbara, CA",2013,"434,823"
"Santa Clara, CA",2013,"1,867,302"
"Santa Cruz, CA",2013,"268,940"
"Shasta, CA",2013,"178,401"
"Sierra, CA",2013,"3,029"
"Siskiyou, CA",2013,"43,532"
"Solano, CA",2013,"423,749"
"Sonoma, CA",2013,"494,243"
"Stanislaus, CA",2013,"523,722"
"Sutter, CA",2013,"94,545"
"Tehama, CA",2013,"62,898"
"Trinity, CA",2013,"13,427"
"Tulare, CA",2013,"452,769"
"Tuolumne, CA",2013,"54,000"
"Ventura, CA",2013,"838,601"
"Yolo, CA",2013,"206,368"
"Yuba, CA",2013,"73,114"
"Adams, CO*",2013,"470,145"
"Alamosa, CO",2013,"16,203"
"Arapahoe, CO",2013,"608,209"
"Archuleta, CO",2013,"12,218"
"Baca, CO",2013,"3,656"
"Bent, CO",2013,"5,746"
"Boulder, CO*",2013,"310,247"
"Broomfield, CO*",2013,"60,149"
"Chaffee, CO",2013,"18,358"
"Cheyenne, CO",2013,"1,878"
"Clear Creek, CO",2013,"9,013"
"Conejos, CO",2013,"8,200"
"Costilla, CO",2013,"3,543"
"Crowley, CO",2013,"5,346"
"Custer, CO",2013,"4,265"
"Delta, CO",2013,"30,339"
"Denver, CO",2013,"649,513"
"Dolores, CO",2013,"2,033"
"Douglas, CO",2013,"306,232"
"Eagle, CO",2013,"52,857"
"Elbert, CO",2013,"23,541"
"El Paso, CO",2013,"655,320"
"Fremont, CO",2013,"46,310"
"Garfield, CO",2013,"56,971"
"Gilpin, CO",2013,"5,534"
"Grand, CO",2013,"14,311"
"Gunnison, CO",2013,"15,653"
"Hinsdale, CO",2013,804
"Huerfano, CO",2013,"6,463"
"Jackson, CO",2013,"1,336"
"Jefferson, CO*",2013,"552,254"
"Kiowa, CO",2013,"1,392"
"Kit Carson, CO",2013,"8,247"
"Lake, CO",2013,"7,265"
"La Plata, CO",2013,"53,287"
"Larimer, CO",2013,"316,258"
"Las Animas, CO",2013,"14,390"
"Lincoln, CO",2013,"5,435"
"Logan, CO",2013,"21,469"
"Mesa, CO",2013,"147,313"
"Mineral, CO",2013,732
"Moffat, CO",2013,"13,124"
"Montezuma, CO",2013,"25,544"
"Montrose, CO",2013,"40,555"
"Morgan, CO",2013,"28,236"
"Otero, CO",2013,"18,481"
"Ouray, CO",2013,"4,552"
"Park, CO",2013,"16,184"
"Phillips, CO",2013,"4,385"
"Pitkin, CO",2013,"17,469"
"Prowers, CO",2013,"12,345"
"Pueblo, CO",2013,"161,145"
"Rio Blanco, CO",2013,"6,747"
"Rio Grande, CO",2013,"11,679"
"Routt, CO",2013,"23,612"
"Saguache, CO",2013,"6,242"
"San Juan, CO",2013,691
"San Miguel, CO",2013,"7,622"
"Sedgwick, CO",2013,"2,339"
"Summit, CO",2013,"28,738"
"Teller, CO",2013,"23,354"
"Washington, CO",2013,"4,742"
"Weld, CO*",2013,"270,126"
"Yuma, CO",2013,"10,135"
"Fairfield, CT",2013,"939,991"
"Hartford, CT",2013,"897,724"
"Litchfield, CT",2013,"186,886"
"Middlesex, CT",2013,"165,156"
"New Haven, CT",2013,"862,889"
"New London, CT",2013,"272,981"
"Tolland, CT",2013,"151,783"
"Windham, CT",2013,"117,505"
"Kent, DE",2013,"169,029"
"New Castle, DE",2013,"548,383"
"Sussex, DE",2013,"206,226"
"District of Columbia, DC",2013,"650,431"
"Alachua, FL",2013,"252,498"
"Baker, FL",2013,"27,001"
"Bay, FL",2013,"174,606"
"Bradford, FL",2013,"26,803"
"Brevard, FL",2013,"550,290"
"Broward, FL",2013,"1,837,055"
"Calhoun, FL",2013,"14,577"
"Charlotte, FL",2013,"164,694"
"Citrus, FL",2013,"138,830"
"Clay, FL",2013,"195,645"
"Collier, FL",2013,"339,065"
"Columbia, FL",2013,"67,415"
"DeSoto, FL",2013,"34,905"
"Dixie, FL",2013,"16,083"
"Duval, FL",2013,"885,975"
"Escambia, FL",2013,"306,677"
"Flagler, FL",2013,"99,816"
"Franklin, FL",2013,"11,521"
"Gadsden, FL",2013,"46,090"
"Gilchrist, FL",2013,"16,953"
"Glades, FL",2013,"12,672"
"Gulf, FL",2013,"15,881"
"Hamilton, FL",2013,"14,339"
"Hardee, FL",2013,"27,319"
"Hendry, FL",2013,"37,831"
"Hernando, FL",2013,"173,655"
"Highlands, FL",2013,"98,088"
"Hillsborough, FL",2013,"1,293,824"
"Holmes, FL",2013,"19,595"
"Indian River, FL",2013,"141,913"
"Jackson, FL",2013,"48,878"
"Jefferson, FL",2013,"14,207"
"Lafayette, FL",2013,"8,822"
"Lake, FL",2013,"308,002"
"Lee, FL",2013,"659,920"
"Leon, FL",2013,"281,893"
"Levy, FL",2013,"39,437"
"Liberty, FL",2013,"8,358"
"Madison, FL",2013,"18,761"
"Manatee, FL",2013,"341,933"
"Marion, FL",2013,"335,117"
"Martin, FL",2013,"151,144"
"Miami-Dade, FL",2013,"2,635,640"
"Monroe, FL",2013,"75,834"
"Nassau, FL",2013,"75,384"
"Okaloosa, FL",2013,"192,697"
"Okeechobee, FL",2013,"39,491"
"Orange, FL",2013,"1,227,642"
"Osceola, FL",2013,"299,304"
"Palm Beach, FL",2013,"1,376,716"
"Pasco, FL",2013,"474,388"
"Pinellas, FL",2013,"928,488"
"Polk, FL",2013,"622,712"
"Putnam, FL",2013,"72,362"
"St. Johns, FL",2013,"209,449"
"St. Lucie, FL",2013,"285,370"
"Santa Rosa, FL",2013,"160,389"
"Sarasota, FL",2013,"389,997"
"Seminole, FL",2013,"435,531"
"Sumter, FL",2013,"106,908"
"Suwannee, FL",2013,"43,584"
"Taylor, FL",2013,"22,868"
"Union, FL",2013,"15,162"
"Volusia, FL",2013,"500,474"
"Wakulla, FL",2013,"30,999"
"Walton, FL",2013,"59,186"
"Washington, FL",2013,"24,503"
"Appling, GA",2013,"18,375"
"Atkinson, GA",2013,"8,266"
"Bacon, GA",2013,"11,168"
"Baker, GA",2013,"3,351"
"Baldwin, GA",2013,"46,180"
"Banks, GA",2013,"18,217"
"Barrow, GA",2013,"71,240"
"Bartow, GA",2013,"100,971"
"Ben Hill, GA",2013,"17,429"
"Berrien, GA",2013,"19,059"
"Bibb, GA",2013,"155,036"
"Bleckley, GA",2013,"12,740"
"Brantley, GA",2013,"18,241"
"Brooks, GA",2013,"15,654"
"Bryan, GA",2013,"33,035"
"Bulloch, GA",2013,"71,833"
"Burke, GA",2013,"22,812"
"Butts, GA",2013,"23,194"
"Calhoun, GA",2013,"6,596"
"Camden, GA",2013,"51,403"
"Candler, GA",2013,"10,953"
"Carroll, GA",2013,"112,276"
"Catoosa, GA",2013,"65,228"
"Charlton, GA",2013,"13,109"
"Chatham, GA",2013,"277,631"
"Chattahoochee, GA",2013,"12,254"
"Chattooga, GA",2013,"25,040"
"Cherokee, GA",2013,"224,336"
"Clarke, GA",2013,"120,905"
"Clay, GA",2013,"3,014"
"Clayton, GA",2013,"264,033"
"Clinch, GA",2013,"6,762"
"Cobb, GA",2013,"716,162"
"Coffee, GA",2013,"43,092"
"Colquitt, GA",2013,"46,150"
"Columbia, GA",2013,"136,178"
"Cook, GA",2013,"17,051"
"Coweta, GA",2013,"132,937"
"Crawford, GA",2013,"12,514"
"Crisp, GA",2013,"23,294"
"Dade, GA",2013,"16,448"
"Dawson, GA",2013,"22,683"
"Decatur, GA",2013,"27,398"
"DeKalb, GA",2013,"717,736"
"Dodge, GA",2013,"21,428"
"Dooly, GA",2013,"14,370"
"Dougherty, GA",2013,"93,391"
"Douglas, GA",2013,"136,058"
"Early, GA",2013,"10,537"
"Echols, GA",2013,"3,996"
"Effingham, GA",2013,"54,428"
"Elbert, GA",2013,"19,487"
"Emanuel, GA",2013,"22,634"
"Evans, GA",2013,"10,796"
"Fannin, GA",2013,"23,821"
"Fayette, GA",2013,"108,063"
"Floyd, GA",2013,"95,885"
"Forsyth, GA",2013,"193,852"
"Franklin, GA",2013,"22,043"
"Fulton, GA",2013,"981,562"
"Gilmer, GA",2013,"28,696"
"Glascock, GA",2013,"3,055"
"Glynn, GA",2013,"81,494"
"Gordon, GA",2013,"55,731"
"Grady, GA",2013,"25,098"
"Greene, GA",2013,"16,248"
"Gwinnett, GA",2013,"853,758"
"Habersham, GA",2013,"43,177"
"Hall, GA",2013,"186,486"
"Hancock, GA",2013,"8,955"
"Haralson, GA",2013,"28,336"
"Harris, GA",2013,"32,539"
"Hart, GA",2013,"25,465"
"Heard, GA",2013,"11,561"
"Henry, GA",2013,"210,086"
"Houston, GA",2013,"147,639"
"Irwin, GA",2013,"9,365"
"Jackson, GA",2013,"61,271"
"Jasper, GA",2013,"13,604"
"Jeff Davis, GA",2013,"15,050"
"Jefferson, GA",2013,"16,251"
"Jenkins, GA",2013,"9,200"
"Johnson, GA",2013,"9,900"
"Jones, GA",2013,"28,572"
"Lamar, GA",2013,"17,924"
"Lanier, GA",2013,"10,408"
"Laurens, GA",2013,"47,760"
"Lee, GA",2013,"29,043"
"Liberty, GA",2013,"62,350"
"Lincoln, GA",2013,"7,733"
"Long, GA",2013,"16,469"
"Lowndes, GA",2013,"112,886"
"Lumpkin, GA",2013,"30,894"
"McDuffie, GA",2013,"21,501"
"McIntosh, GA",2013,"14,027"
"Macon, GA",2013,"13,976"
"Madison, GA",2013,"28,194"
"Marion, GA",2013,"8,580"
"Meriwether, GA",2013,"21,223"
"Miller, GA",2013,"5,899"
"Mitchell, GA",2013,"22,991"
"Monroe, GA",2013,"26,630"
"Montgomery, GA",2013,"8,957"
"Morgan, GA",2013,"17,678"
"Murray, GA",2013,"39,187"
"Muscogee, GA",2013,"203,198"
"Newton, GA",2013,"102,064"
"Oconee, GA",2013,"34,076"
"Oglethorpe, GA",2013,"14,417"
"Paulding, GA",2013,"146,750"
"Peach, GA",2013,"27,040"
"Pickens, GA",2013,"29,414"
"Pierce, GA",2013,"19,015"
"Pike, GA",2013,"17,773"
"Polk, GA",2013,"40,959"
"Pulaski, GA",2013,"11,567"
"Putnam, GA",2013,"21,286"
"Quitman, GA",2013,"2,369"
"Rabun, GA",2013,"16,190"
"Randolph, GA",2013,"7,198"
"Richmond, GA",2013,"201,194"
"Rockdale, GA",2013,"86,502"
"Schley, GA",2013,"5,093"
"Screven, GA",2013,"14,143"
"Seminole, GA",2013,"8,844"
"Spalding, GA",2013,"63,509"
"Stephens, GA",2013,"25,568"
