County Name,Year,Total Employments
"Collier, FL",2012,"183,066"
"Columbia, FL",2012,"28,824"
"DeSoto, FL",2012,"12,093"
"Dixie, FL",2012,"3,809"
"Duval, FL",2012,"581,275"
"Escambia, FL",2012,"167,753"
"Flagler, FL",2012,"32,203"
"Franklin, FL",2012,"5,375"
"Gadsden, FL",2012,"17,761"
"Gilchrist, FL",2012,"4,677"
"Glades, FL",2012,"2,872"
"Gulf, FL",2012,"5,184"
"Hamilton, FL",2012,"4,540"
"Hardee, FL",2012,"11,038"
"Hendry, FL",2012,"17,411"
"Hernando, FL",2012,"54,272"
"Highlands, FL",2012,"38,022"
"Hillsborough, FL",2012,"790,317"
"Holmes, FL",2012,"6,149"
"Indian River, FL",2012,"70,303"
"Jackson, FL",2012,"19,874"
"Jefferson, FL",2012,"4,779"
"Lafayette, FL",2012,"2,281"
"Lake, FL",2012,"119,059"
"Lee, FL",2012,"301,974"
"Leon, FL",2012,"179,227"
"Levy, FL",2012,"13,154"
"Liberty, FL",2012,"2,708"
"Madison, FL",2012,"6,601"
"Manatee, FL",2012,"152,502"
"Marion, FL",2012,"132,017"
"Martin, FL",2012,"82,590"
"Miami-Dade, FL",2012,"1,510,755"
"Monroe, FL",2012,"56,240"
"Nassau, FL",2012,"28,404"
"Okaloosa, FL",2012,"119,508"
"Okeechobee, FL",2012,"14,888"
"Orange, FL",2012,"881,761"
"Osceola, FL",2012,"110,424"
"Palm Beach, FL",2012,"774,966"
"Pasco, FL",2012,"148,748"
"Pinellas, FL",2012,"523,490"
"Polk, FL",2012,"261,791"
"Putnam, FL",2012,"22,748"
"St. Johns, FL",2012,"89,733"
"St. Lucie, FL",2012,"99,366"
"Santa Rosa, FL",2012,"53,544"
"Sarasota, FL",2012,"209,255"
"Seminole, FL",2012,"224,182"
"Sumter, FL",2012,"34,451"
"Suwannee, FL",2012,"15,793"
"Taylor, FL",2012,"8,618"
"Union, FL",2012,"5,004"
"Volusia, FL",2012,"217,213"
"Wakulla, FL",2012,"8,635"
"Walton, FL",2012,"31,848"
"Washington, FL",2012,"8,347"
"Appling, GA",2012,"8,960"
"Atkinson, GA",2012,"2,562"
"Bacon, GA",2012,"4,803"
"Baker, GA",2012,990
"Baldwin, GA",2012,"21,184"
"Banks, GA",2012,"5,262"
"Barrow, GA",2012,"24,707"
"Bartow, GA",2012,"44,316"
"Ben Hill, GA",2012,"7,840"
"Berrien, GA",2012,"6,200"
"Bibb, GA",2012,"108,540"
"Bleckley, GA",2012,"4,863"
"Brantley, GA",2012,"3,681"
"Brooks, GA",2012,"4,228"
"Bryan, GA",2012,"10,857"
"Bulloch, GA",2012,"31,117"
"Burke, GA",2012,"10,273"
"Butts, GA",2012,"8,571"
"Calhoun, GA",2012,"2,008"
"Camden, GA",2012,"22,223"
"Candler, GA",2012,"4,379"
"Carroll, GA",2012,"53,521"
"Catoosa, GA",2012,"19,703"
"Charlton, GA",2012,"3,134"
"Chatham, GA",2012,"177,919"
"Chattahoochee, GA",2012,"20,142"
"Chattooga, GA",2012,"8,293"
"Cherokee, GA",2012,"82,008"
"Clarke, GA",2012,"84,584"
"Clay, GA",2012,945
"Clayton, GA",2012,"144,800"
"Clinch, GA",2012,"3,063"
"Cobb, GA",2012,"440,543"
"Coffee, GA",2012,"20,045"
"Colquitt, GA",2012,"19,924"
"Columbia, GA",2012,"46,674"
"Cook, GA",2012,"5,460"
"Coweta, GA",2012,"49,054"
"Crawford, GA",2012,"2,199"
"Crisp, GA",2012,"10,991"
"Dade, GA",2012,"5,086"
"Dawson, GA",2012,"11,575"
"Decatur, GA",2012,"12,471"
"DeKalb, GA",2012,"407,275"
"Dodge, GA",2012,"7,807"
"Dooly, GA",2012,"4,777"
"Dougherty, GA",2012,"61,069"
"Douglas, GA",2012,"54,525"
"Early, GA",2012,"5,733"
"Echols, GA",2012,764
"Effingham, GA",2012,"14,461"
"Elbert, GA",2012,"8,593"
"Emanuel, GA",2012,"9,708"
"Evans, GA",2012,"5,655"
"Fannin, GA",2012,"9,424"
"Fayette, GA",2012,"56,255"
"Floyd, GA",2012,"49,239"
"Forsyth, GA",2012,"86,532"
"Franklin, GA",2012,"10,655"
"Fulton, GA",2012,"969,732"
"Gilmer, GA",2012,"11,147"
"Glascock, GA",2012,800
"Glynn, GA",2012,"47,040"
"Gordon, GA",2012,"26,525"
"Grady, GA",2012,"8,768"
"Greene, GA",2012,"7,735"
"Gwinnett, GA",2012,"460,167"
"Habersham, GA",2012,"19,505"
"Hall, GA",2012,"96,011"
"Hancock, GA",2012,"2,681"
"Haralson, GA",2012,"9,856"
"Harris, GA",2012,"7,919"
"Hart, GA",2012,"9,224"
"Heard, GA",2012,"3,197"
"Henry, GA",2012,"80,930"
"Houston, GA",2012,"77,798"
"Irwin, GA",2012,"3,544"
"Jackson, GA",2012,"25,971"
"Jasper, GA",2012,"3,733"
"Jeff Davis, GA",2012,"5,947"
"Jefferson, GA",2012,"6,974"
"Jenkins, GA",2012,"2,366"
"Johnson, GA",2012,"2,680"
"Jones, GA",2012,"6,354"
"Lamar, GA",2012,"5,544"
"Lanier, GA",2012,"2,206"
"Laurens, GA",2012,"23,583"
"Lee, GA",2012,"8,530"
"Liberty, GA",2012,"41,708"
"Lincoln, GA",2012,"2,235"
"Long, GA",2012,"1,722"
"Lowndes, GA",2012,"64,953"
"Lumpkin, GA",2012,"10,726"
"McDuffie, GA",2012,"9,339"
"McIntosh, GA",2012,"3,485"
"Macon, GA",2012,"4,608"
"Madison, GA",2012,"7,013"
"Marion, GA",2012,"2,584"
"Meriwether, GA",2012,"7,587"
"Miller, GA",2012,"2,561"
"Mitchell, GA",2012,"10,884"
"Monroe, GA",2012,"10,331"
"Montgomery, GA",2012,"2,530"
"Morgan, GA",2012,"9,864"
"Murray, GA",2012,"12,274"
"Muscogee, GA",2012,"129,649"
"Newton, GA",2012,"34,201"
"Oconee, GA",2012,"15,092"
"Oglethorpe, GA",2012,"3,437"
"Paulding, GA",2012,"33,588"
"Peach, GA",2012,"12,346"
"Pickens, GA",2012,"11,791"
"Pierce, GA",2012,"6,170"
"Pike, GA",2012,"4,899"
"Polk, GA",2012,"16,055"
"Pulaski, GA",2012,"4,539"
"Putnam, GA",2012,"8,458"
"Quitman, GA",2012,670
"Rabun, GA",2012,"7,335"
"Randolph, GA",2012,"2,788"
"Richmond, GA",2012,"134,476"
"Rockdale, GA",2012,"42,951"
"Schley, GA",2012,"1,567"
"Screven, GA",2012,"5,156"
"Seminole, GA",2012,"3,591"
"Spalding, GA",2012,"29,645"
"Stephens, GA",2012,"12,687"
"Stewart, GA",2012,"1,841"
"Sumter, GA",2012,"15,226"
"Talbot, GA",2012,"1,421"
"Taliaferro, GA",2012,436
"Tattnall, GA",2012,"8,457"
"Taylor, GA",2012,"2,779"
"Telfair, GA",2012,"5,268"
"Terrell, GA",2012,"3,689"
"Thomas, GA",2012,"27,999"
"Tift, GA",2012,"24,773"
"Toombs, GA",2012,"15,499"
"Towns, GA",2012,"5,137"
"Treutlen, GA",2012,"1,915"
"Troup, GA",2012,"44,923"
"Turner, GA",2012,"3,582"
"Twiggs, GA",2012,"2,082"
"Union, GA",2012,"9,707"
"Upson, GA",2012,"9,804"
"Walker, GA",2012,"20,392"
"Walton, GA",2012,"28,234"
"Ware, GA",2012,"19,027"
"Warren, GA",2012,"1,988"
"Washington, GA",2012,"9,602"
"Wayne, GA",2012,"11,510"
"Webster, GA",2012,820
"Wheeler, GA",2012,"2,136"
"White, GA",2012,"10,668"
"Whitfield, GA",2012,"64,397"
"Wilcox, GA",2012,"2,459"
"Wilkes, GA",2012,"4,442"
"Wilkinson, GA",2012,"4,127"
"Worth, GA",2012,"6,100"
"Hawaii, HI",2012,"96,980"
"Honolulu, HI",2012,"613,464"
"Kauai, HI",2012,"41,548"
"Maui + Kalawao, HI*",2012,"97,164"
"Ada, ID",2012,"271,775"
"Adams, ID",2012,"2,010"
"Bannock, ID",2012,"44,074"
"Bear Lake, ID",2012,"3,083"
"Benewah, ID",2012,"4,844"
"Bingham, ID",2012,"21,730"
"Blaine, ID",2012,"19,332"
"Boise, ID",2012,"2,577"
"Bonner, ID",2012,"20,260"
"Bonneville, ID",2012,"60,870"
"Boundary, ID",2012,"5,508"
"Butte, ID",2012,"8,480"
"Camas, ID",2012,715
"Canyon, ID",2012,"77,250"
"Caribou, ID",2012,"4,734"
"Cassia, ID",2012,"13,887"
"Clark, ID",2012,587
"Clearwater, ID",2012,"4,131"
"Custer, ID",2012,"2,887"
"Elmore, ID",2012,"12,493"
"Franklin, ID",2012,"5,939"
"Fremont (includes Yellowstone Park), ID",2012,"5,422"
"Gem, ID",2012,"6,111"
"Gooding, ID",2012,"8,163"
"Idaho, ID",2012,"7,546"
"Jefferson, ID",2012,"10,482"
"Jerome, ID",2012,"10,949"
"Kootenai, ID",2012,"75,139"
"Latah, ID",2012,"21,080"
"Lemhi, ID",2012,"4,121"
"Lewis, ID",2012,"2,624"
"Lincoln, ID",2012,"2,592"
"Madison, ID",2012,"19,192"
"Minidoka, ID",2012,"9,439"
"Nez Perce, ID",2012,"25,273"
"Oneida, ID",2012,"2,169"
"Owyhee, ID",2012,"4,231"
"Payette, ID",2012,"9,314"
"Power, ID",2012,"4,493"
"Shoshone, ID",2012,"6,389"
"Teton, ID",2012,"4,921"
"Twin Falls, ID",2012,"45,391"
"Valley, ID",2012,"6,303"
"Washington, ID",2012,"4,638"
"Adams, IL",2012,"42,848"
"Alexander, IL",2012,"2,476"
"Bond, IL",2012,"7,134"
"Boone, IL",2012,"21,825"
"Brown, IL",2012,"4,372"
"Bureau, IL",2012,"16,490"
"Calhoun, IL",2012,"1,839"
"Carroll, IL",2012,"6,831"
"Cass, IL",2012,"8,046"
"Champaign, IL",2012,"123,781"
"Christian, IL",2012,"15,477"
"Clark, IL",2012,"7,404"
"Clay, IL",2012,"7,701"
"Clinton, IL",2012,"16,761"
"Coles, IL",2012,"31,183"
"Cook, IL",2012,"3,258,978"
"Crawford, IL",2012,"11,864"
"Cumberland, IL",2012,"4,328"
"DeKalb, IL",2012,"51,210"
"De Witt, IL",2012,"7,412"
"Douglas, IL",2012,"11,706"
"DuPage, IL",2012,"735,739"
"Edgar, IL",2012,"8,422"
"Edwards, IL",2012,"3,886"
"Effingham, IL",2012,"26,884"
"Fayette, IL",2012,"8,783"
"Ford, IL",2012,"6,876"
"Franklin, IL",2012,"14,060"
"Fulton, IL",2012,"12,490"
"Gallatin, IL",2012,"2,193"
"Greene, IL",2012,"4,826"
"Grundy, IL",2012,"22,357"
"Hamilton, IL",2012,"3,313"
"Hancock, IL",2012,"7,542"
"Hardin, IL",2012,"1,524"
"Henderson, IL",2012,"2,219"
"Henry, IL",2012,"20,379"
"Iroquois, IL",2012,"13,293"
"Jackson, IL",2012,"36,682"
"Jasper, IL",2012,"4,730"
"Jefferson, IL",2012,"25,060"
"Jersey, IL",2012,"7,508"
"Jo Daviess, IL",2012,"12,281"
"Johnson, IL",2012,"3,996"
"Kane, IL",2012,"254,924"
"Kankakee, IL",2012,"54,818"
"Kendall, IL",2012,"37,928"
"Knox, IL",2012,"26,701"
"Lake, IL",2012,"450,725"
"LaSalle, IL",2012,"55,687"
"Lawrence, IL",2012,"6,334"
"Lee, IL",2012,"16,540"
"Livingston, IL",2012,"18,358"
"Logan, IL",2012,"12,620"
"McDonough, IL",2012,"17,394"
"McHenry, IL",2012,"135,661"
"McLean, IL",2012,"113,158"
"Macon, IL",2012,"64,625"
"Macoupin, IL",2012,"16,568"
"Madison, IL",2012,"125,532"
"Marion, IL",2012,"19,631"
"Marshall, IL",2012,"4,752"
"Mason, IL",2012,"5,229"
"Massac, IL",2012,"5,464"
"Menard, IL",2012,"3,975"
"Mercer, IL",2012,"5,567"
"Monroe, IL",2012,"13,029"
"Montgomery, IL",2012,"13,170"
"Morgan, IL",2012,"18,649"
"Moultrie, IL",2012,"6,163"
"Ogle, IL",2012,"22,869"
"Peoria, IL",2012,"125,305"
"Perry, IL",2012,"7,432"
"Piatt, IL",2012,"5,836"
"Pike, IL",2012,"7,028"
"Pope, IL",2012,"1,348"
"Pulaski, IL",2012,"2,863"
"Putnam, IL",2012,"2,405"
"Randolph, IL",2012,"15,548"
"Richland, IL",2012,"9,427"
"Rock Island, IL",2012,"92,682"
"St. Clair, IL",2012,"127,560"
"Saline, IL",2012,"13,161"
"Sangamon, IL",2012,"123,830"
"Schuyler, IL",2012,"3,155"
"Scott, IL",2012,"1,923"
"Shelby, IL",2012,"8,558"
"Stark, IL",2012,"2,327"
"Stephenson, IL",2012,"25,172"
"Tazewell, IL",2012,"76,403"
"Union, IL",2012,"7,131"
"Vermilion, IL",2012,"38,165"
"Wabash, IL",2012,"5,744"
"Warren, IL",2012,"8,692"
"Washington, IL",2012,"8,756"
"Wayne, IL",2012,"8,516"
"White, IL",2012,"8,270"
"Whiteside, IL",2012,"28,294"
"Will, IL",2012,"284,556"
"Williamson, IL",2012,"35,775"
"Winnebago, IL",2012,"162,100"
"Woodford, IL",2012,"15,919"
"Adams, IN",2012,"19,077"
"Allen, IN",2012,"227,106"
"Bartholomew, IN",2012,"57,396"
"Benton, IN",2012,"3,908"
"Blackford, IN",2012,"4,773"
"Boone, IN",2012,"33,205"
"Brown, IN",2012,"5,578"
"Carroll, IN",2012,"7,771"
"Cass, IN",2012,"18,549"
"Clark, IN",2012,"60,437"
"Clay, IN",2012,"11,048"
"Clinton, IN",2012,"14,549"
"Crawford, IN",2012,"3,584"
"Daviess, IN",2012,"16,677"
"Dearborn, IN",2012,"20,365"
"Decatur, IN",2012,"16,437"
"DeKalb, IN",2012,"25,091"
"Delaware, IN",2012,"58,940"
"Dubois, IN",2012,"33,266"
"Elkhart, IN",2012,"136,452"
"Fayette, IN",2012,"8,875"
"Floyd, IN",2012,"38,254"
"Fountain, IN",2012,"7,877"
"Franklin, IN",2012,"7,179"
"Fulton, IN",2012,"9,847"
"Gibson, IN",2012,"22,236"
"Grant, IN",2012,"35,125"
"Greene, IN",2012,"10,914"
"Hamilton, IN",2012,"164,683"
"Hancock, IN",2012,"30,077"
"Harrison, IN",2012,"16,126"
"Hendricks, IN",2012,"72,894"
"Henry, IN",2012,"17,119"
"Howard, IN",2012,"46,485"
"Huntington, IN",2012,"18,765"
"Jackson, IN",2012,"24,011"
"Jasper, IN",2012,"15,736"
"Jay, IN",2012,"10,817"
"Jefferson, IN",2012,"16,410"
"Jennings, IN",2012,"10,253"
"Johnson, IN",2012,"63,861"
"Knox, IN",2012,"22,299"
"Kosciusko, IN",2012,"45,759"
"Lagrange, IN",2012,"19,443"
"Lake, IN",2012,"244,112"
"LaPorte, IN",2012,"53,668"
"Lawrence, IN",2012,"18,477"
"Madison, IN",2012,"52,440"
"Marion, IN",2012,"705,994"
"Marshall, IN",2012,"23,975"
"Martin, IN",2012,"8,857"
"Miami, IN",2012,"13,343"
"Monroe, IN",2012,"85,450"
"Montgomery, IN",2012,"19,848"
"Morgan, IN",2012,"22,639"
"Newton, IN",2012,"5,255"
"Noble, IN",2012,"22,913"
"Ohio, IN",2012,"2,200"
"Orange, IN",2012,"9,979"
"Owen, IN",2012,"7,476"
"Parke, IN",2012,"5,357"
"Perry, IN",2012,"8,445"
"Pike, IN",2012,"4,536"
"Porter, IN",2012,"76,032"
"Posey, IN",2012,"11,811"
"Pulaski, IN",2012,"6,427"
"Putnam, IN",2012,"17,053"
"Randolph, IN",2012,"10,289"
"Ripley, IN",2012,"16,518"
"Rush, IN",2012,"6,999"
"St. Joseph, IN",2012,"151,440"
"Scott, IN",2012,"9,533"
"Shelby, IN",2012,"22,068"
"Spencer, IN",2012,"9,933"
"Starke, IN",2012,"6,622"
"Steuben, IN",2012,"19,658"
"Sullivan, IN",2012,"8,407"
"Switzerland, IN",2012,"3,546"
"Tippecanoe, IN",2012,"104,589"
"Tipton, IN",2012,"6,148"
"Union, IN",2012,"2,523"
"Vanderburgh, IN",2012,"128,556"
"Vermillion, IN",2012,"6,058"
"Vigo, IN",2012,"61,308"
"Wabash, IN",2012,"16,458"
"Warren, IN",2012,"3,059"
"Warrick, IN",2012,"23,191"
"Washington, IN",2012,"9,387"
"Wayne, IN",2012,"37,425"
"Wells, IN",2012,"14,400"
"White, IN",2012,"12,457"
"Whitley, IN",2012,"16,221"
"Adair, IA",2012,"4,592"
"Adams, IA",2012,"2,221"
"Allamakee, IA",2012,"8,127"
"Appanoose, IA",2012,"7,002"
"Audubon, IA",2012,"3,109"
"Benton, IA",2012,"10,251"
"Black Hawk, IA",2012,"92,645"
"Boone, IA",2012,"13,529"
"Bremer, IA",2012,"14,777"
"Buchanan, IA",2012,"10,190"
"Buena Vista, IA",2012,"14,004"
"Butler, IA",2012,"7,292"
"Calhoun, IA",2012,"5,339"
"Carroll, IA",2012,"16,736"
"Cass, IA",2012,"8,603"
"Cedar, IA",2012,"8,663"
"Cerro Gordo, IA",2012,"31,496"
"Cherokee, IA",2012,"7,936"
"Chickasaw, IA",2012,"7,662"
"Clarke, IA",2012,"5,773"
"Clay, IA",2012,"12,063"
"Clayton, IA",2012,"10,955"
"Clinton, IA",2012,"29,390"
"Crawford, IA",2012,"10,608"
"Dallas, IA",2012,"48,709"
"Davis, IA",2012,"4,030"
"Decatur, IA",2012,"4,241"
"Delaware, IA",2012,"10,179"
"Des Moines, IA",2012,"26,886"
"Dickinson, IA",2012,"12,473"
"Dubuque, IA",2012,"71,133"
"Emmet, IA",2012,"6,082"
"Fayette, IA",2012,"11,454"
"Floyd, IA",2012,"8,463"
"Franklin, IA",2012,"6,169"
"Fremont, IA",2012,"4,314"
"Greene, IA",2012,"5,295"
"Grundy, IA",2012,"6,394"
"Guthrie, IA",2012,"5,761"
"Hamilton, IA",2012,"8,345"
"Hancock, IA",2012,"8,510"
"Hardin, IA",2012,"10,874"
"Harrison, IA",2012,"7,049"
"Henry, IA",2012,"12,714"
"Howard, IA",2012,"6,620"
"Humboldt, IA",2012,"5,962"
"Ida, IA",2012,"5,005"
"Iowa, IA",2012,"12,086"
"Jackson, IA",2012,"10,303"
"Jasper, IA",2012,"15,856"
"Jefferson, IA",2012,"11,178"
"Johnson, IA",2012,"107,675"
"Jones, IA",2012,"9,693"
"Keokuk, IA",2012,"4,700"
"Kossuth, IA",2012,"10,539"
"Lee, IA",2012,"20,953"
"Linn, IA",2012,"156,613"
"Louisa, IA",2012,"5,510"
"Lucas, IA",2012,"4,774"
"Lyon, IA",2012,"7,415"
"Madison, IA",2012,"6,641"
"Mahaska, IA",2012,"11,515"
"Marion, IA",2012,"21,898"
"Marshall, IA",2012,"23,094"
"Mills, IA",2012,"6,341"
"Mitchell, IA",2012,"5,977"
"Monona, IA",2012,"4,488"
"Monroe, IA",2012,"5,018"
"Montgomery, IA",2012,"6,109"
"Muscatine, IA",2012,"26,670"
"O'Brien, IA",2012,"9,142"
"Osceola, IA",2012,"3,291"
"Page, IA",2012,"8,331"
"Palo Alto, IA",2012,"5,888"
"Plymouth, IA",2012,"15,348"
"Pocahontas, IA",2012,"4,559"
"Polk, IA",2012,"337,158"
"Pottawattamie, IA",2012,"48,493"
"Poweshiek, IA",2012,"13,484"
"Ringgold, IA",2012,"2,776"
"Sac, IA",2012,"5,754"
"Scott, IA",2012,"110,200"
"Shelby, IA",2012,"8,732"
"Sioux, IA",2012,"25,936"
"Story, IA",2012,"59,850"
"Tama, IA",2012,"8,119"
"Taylor, IA",2012,"3,531"
"Union, IA",2012,"8,872"
"Van Buren, IA",2012,"3,844"
"Wapello, IA",2012,"20,021"
"Warren, IA",2012,"17,143"
"Washington, IA",2012,"13,607"
"Wayne, IA",2012,"3,472"
"Webster, IA",2012,"23,073"
"Winnebago, IA",2012,"6,750"
"Winneshiek, IA",2012,"15,706"
"Woodbury, IA",2012,"63,609"
"Worth, IA",2012,"3,970"
"Wright, IA",2012,"8,100"
"Allen, KS",2012,"8,551"
"Anderson, KS",2012,"3,909"
"Atchison, KS",2012,"8,469"
"Barber, KS",2012,"3,591"
"Barton, KS",2012,"20,005"
"Bourbon, KS",2012,"9,242"
"Brown, KS",2012,"7,017"
"Butler, KS",2012,"28,702"
"Chase, KS",2012,"1,616"
"Chautauqua, KS",2012,"1,858"
"Cherokee, KS",2012,"8,635"
"Cheyenne, KS",2012,"1,633"
"Clark, KS",2012,"1,445"
"Clay, KS",2012,"4,866"
"Cloud, KS",2012,"5,552"
"Coffey, KS",2012,"6,181"
"Comanche, KS",2012,"1,258"
"Cowley, KS",2012,"19,863"
"Crawford, KS",2012,"23,009"
"Decatur, KS",2012,"1,723"
"Dickinson, KS",2012,"10,375"
"Doniphan, KS",2012,"3,623"
"Douglas, KS",2012,"66,197"
"Edwards, KS",2012,"1,799"
"Elk, KS",2012,"1,603"
"Ellis, KS",2012,"24,919"
"Ellsworth, KS",2012,"4,334"
"Finney, KS",2012,"23,164"
"Ford, KS",2012,"22,429"
"Franklin, KS",2012,"13,656"
"Geary, KS",2012,"35,957"
"Gove, KS",2012,"2,297"
"Graham, KS",2012,"2,176"
"Grant, KS",2012,"4,761"
"Gray, KS",2012,"4,952"
"Greeley, KS",2012,"1,145"
"Greenwood, KS",2012,"3,637"
"Hamilton, KS",2012,"1,856"
"Harper, KS",2012,"4,348"
"Harvey, KS",2012,"19,497"
"Haskell, KS",2012,"2,847"
"Hodgeman, KS",2012,"1,340"
"Jackson, KS",2012,"6,550"
"Jefferson, KS",2012,"6,743"
"Jewell, KS",2012,"1,798"
"Johnson, KS",2012,"418,613"
"Kearny, KS",2012,"2,258"
"Kingman, KS",2012,"5,104"
"Kiowa, KS",2012,"2,144"
"Labette, KS",2012,"14,232"
"Lane, KS",2012,"1,368"
"Leavenworth, KS",2012,"32,944"
"Lincoln, KS",2012,"1,874"
"Linn, KS",2012,"3,985"
"Logan, KS",2012,"2,306"
"Lyon, KS",2012,"20,691"
"McPherson, KS",2012,"21,266"
"Marion, KS",2012,"6,618"
"Marshall, KS",2012,"7,658"
"Meade, KS",2012,"2,734"
"Miami, KS",2012,"13,164"
"Mitchell, KS",2012,"5,172"
"Montgomery, KS",2012,"22,586"
"Morris, KS",2012,"2,761"
"Morton, KS",2012,"2,138"
"Nemaha, KS",2012,"7,375"
"Neosho, KS",2012,"9,711"
"Ness, KS",2012,"2,867"
"Norton, KS",2012,"3,984"
"Osage, KS",2012,"5,894"
"Osborne, KS",2012,"2,706"
"Ottawa, KS",2012,"2,697"
"Pawnee, KS",2012,"4,475"
"Phillips, KS",2012,"3,996"
"Pottawatomie, KS",2012,"13,169"
"Pratt, KS",2012,"7,258"
"Rawlins, KS",2012,"1,789"
"Reno, KS",2012,"38,073"
"Republic, KS",2012,"3,419"
"Rice, KS",2012,"5,863"
"Riley, KS",2012,"39,971"
"Rooks, KS",2012,"3,916"
"Rush, KS",2012,"2,427"
"Russell, KS",2012,"5,548"
"Saline, KS",2012,"37,360"
"Scott, KS",2012,"3,095"
"Sedgwick, KS",2012,"317,470"
"Seward, KS",2012,"15,047"
"Shawnee, KS",2012,"120,079"
"Sheridan, KS",2012,"2,099"
"Sherman, KS",2012,"4,038"
"Smith, KS",2012,"2,538"
"Stafford, KS",2012,"2,621"
"Stanton, KS",2012,"1,472"
"Stevens, KS",2012,"3,115"
"Sumner, KS",2012,"10,876"
"Thomas, KS",2012,"6,174"
"Trego, KS",2012,"2,376"
"Wabaunsee, KS",2012,"2,919"
"Wallace, KS",2012,"1,114"
"Washington, KS",2012,"3,607"
"Wichita, KS",2012,"1,429"
"Wilson, KS",2012,"5,131"
"Woodson, KS",2012,"1,659"
"Wyandotte, KS",2012,"103,292"
"Adair, KY",2012,"8,203"
"Allen, KY",2012,"7,394"
"Anderson, KY",2012,"7,621"
"Ballard, KY",2012,"3,420"
"Barren, KY",2012,"24,560"
"Bath, KY",2012,"3,666"
"Bell, KY",2012,"11,283"
"Boone, KY",2012,"91,087"
"Bourbon, KY",2012,"10,174"
"Boyd, KY",2012,"31,909"
"Boyle, KY",2012,"18,492"
"Bracken, KY",2012,"2,878"
"Breathitt, KY",2012,"4,131"
"Breckinridge, KY",2012,"6,703"
"Bullitt, KY",2012,"27,169"
"Butler, KY",2012,"4,626"
"Caldwell, KY",2012,"5,911"
"Calloway, KY",2012,"21,251"
"Campbell, KY",2012,"39,927"
"Carlisle, KY",2012,"1,977"
"Carroll, KY",2012,"7,576"
"Carter, KY",2012,"9,207"
"Casey, KY",2012,"5,984"
"Christian, KY",2012,"71,047"
"Clark, KY",2012,"16,928"
"Clay, KY",2012,"5,780"
"Clinton, KY",2012,"5,695"
"Crittenden, KY",2012,"3,484"
"Cumberland, KY",2012,"2,871"
"Daviess, KY",2012,"57,730"
"Edmonson, KY",2012,"2,958"
"Elliott, KY",2012,"1,759"
"Estill, KY",2012,"4,100"
"Fayette, KY",2012,"227,967"
"Fleming, KY",2012,"6,170"
"Floyd, KY",2012,"15,623"
"Franklin, KY",2012,"37,462"
"Fulton, KY",2012,"3,321"
"Gallatin, KY",2012,"3,141"
"Garrard, KY",2012,"4,874"
"Grant, KY",2012,"8,211"
"Graves, KY",2012,"17,203"
"Grayson, KY",2012,"11,900"
"Green, KY",2012,"4,135"
"Greenup, KY",2012,"11,995"
"Hancock, KY",2012,"5,557"
"Hardin, KY",2012,"66,261"
"Harlan, KY",2012,"10,180"
"Harrison, KY",2012,"7,739"
"Hart, KY",2012,"8,695"
"Henderson, KY",2012,"24,713"
"Henry, KY",2012,"5,910"
"Hickman, KY",2012,"1,747"
"Hopkins, KY",2012,"23,060"
"Jackson, KY",2012,"3,879"
"Jefferson, KY",2012,"534,064"
"Jessamine, KY",2012,"22,877"
"Johnson, KY",2012,"8,111"
"Kenton, KY",2012,"81,775"
"Knott, KY",2012,"4,284"
"Knox, KY",2012,"11,243"
"Larue, KY",2012,"4,953"
"Laurel, KY",2012,"30,660"
"Lawrence, KY",2012,"4,945"
"Lee, KY",2012,"2,426"
"Leslie, KY",2012,"2,609"
"Letcher, KY",2012,"6,765"
"Lewis, KY",2012,"4,004"
"Lincoln, KY",2012,"7,979"
"Livingston, KY",2012,"4,116"
"Logan, KY",2012,"12,376"
"Lyon, KY",2012,"3,312"
"McCracken, KY",2012,"47,306"
"McCreary, KY",2012,"4,185"
"McLean, KY",2012,"2,950"
"Madison, KY",2012,"43,901"
"Magoffin, KY",2012,"3,421"
"Marion, KY",2012,"10,555"
"Marshall, KY",2012,"15,037"
"Martin, KY",2012,"3,852"
"Mason, KY",2012,"11,382"
"Meade, KY",2012,"7,382"
"Menifee, KY",2012,"1,749"
"Mercer, KY",2012,"9,649"
"Metcalfe, KY",2012,"4,225"
"Monroe, KY",2012,"5,615"
"Montgomery, KY",2012,"14,286"
"Morgan, KY",2012,"4,874"
"Muhlenberg, KY",2012,"12,751"
"Nelson, KY",2012,"20,585"
"Nicholas, KY",2012,"2,233"
"Ohio, KY",2012,"10,085"
"Oldham, KY",2012,"21,725"
"Owen, KY",2012,"3,694"
"Owsley, KY",2012,"1,215"
"Pendleton, KY",2012,"4,394"
"Perry, KY",2012,"15,576"
"Pike, KY",2012,"29,702"
"Powell, KY",2012,"3,833"
"Pulaski, KY",2012,"34,105"
"Robertson, KY",2012,759
"Rockcastle, KY",2012,"5,396"
"Rowan, KY",2012,"13,085"
"Russell, KY",2012,"9,245"
"Scott, KY",2012,"29,853"
"Shelby, KY",2012,"20,863"
"Simpson, KY",2012,"11,301"
"Spencer, KY",2012,"4,100"
"Taylor, KY",2012,"14,699"
"Todd, KY",2012,"4,784"
"Trigg, KY",2012,"4,962"
"Trimble, KY",2012,"2,302"
"Union, KY",2012,"7,636"
"Warren, KY",2012,"76,015"
"Washington, KY",2012,"5,395"
"Wayne, KY",2012,"7,749"
"Webster, KY",2012,"5,259"
